,0,1
PAX7,0.0,0.0
IFFO2,0.0,0.0
UBR4,0.0,0.006737127356880991
EMC1,0.0,0.0
MRTO4,0.0,0.00873442875628003
AKR7A2,0.0,0.006900405946276758
PQLC2,0.0,0.0
CAPZB,0.0,0.017765145265501856
NBL1,0.0,0.0
TMCO4,0.0,0.00741348363746539
OTUD3,0.0,0.0
PLA2G2C,0.0,0.0
UBXN10,0.0,0.0
VWA5B1,0.0,0.0
CAMK2N1,0.0,0.0
MUL1,0.0,0.0
FAM43B,0.0,0.0
CDA,0.0,0.0
PINK1,0.0,0.0
DDOST,0.0,0.0
KIF17,0.0,0.0
SH2D5,0.0,0.0
HP1BP3,0.01285743613821846,0.0
EIF4G3,0.01803299443919914,0.0233400721907965
ECE1,0.0,0.0
NBPF3,0.012364907561973263,0.0
RAP1GAP,0.0,0.0
USP48,0.015009933074779538,0.0
LDLRAD2,0.0,0.0
HSPG2,0.0,0.0
CELA3A,0.0,0.0
CDC42,0.010729211865494751,0.008369728039786077
ZBTB40,0.008487248665607476,0.0
C1QA,0.04466592532213581,0.03029276124073526
C1QC,0.05788367805878586,0.029826313286615933
C1QB,0.05138135415954211,0.035553677562826264
EPHB2,0.0,0.01297456763934528
C1orf234,0.0,0.0
KDM1A,0.0,0.0
LUZP1,0.0,0.0
HNRNPR,0.016411791193264424,0.01390344220231371
ZNF436,0.0,0.0
TCEA3,0.0,0.0
ASAP3,0.0,0.0
MDS2,0.0,0.0
RPL11,0.018786447785936133,0.01415976118340638
TCEB3,0.0,0.00928924420745623
PITHD1,0.0,0.0
LYPLA2,0.014284029296835019,0.0
GALE,0.0,0.0
HMGCL,0.0,0.008678292341208822
FUCA1,0.0,0.0
CNR2,0.0,0.0
PNRC2,0.0,0.007392291344125705
SRSF10,0.012138010700884477,0.01852884846078326
MYOM3,0.0,0.0
IFNLR1,0.007695882630654667,0.0
STPG1,0.0,0.005447423983711683
NIPAL3,0.0,0.0
RCAN3,0.0,0.0
NCMAP,0.008865159267484452,0.006229190893486901
SRRM1,0.0,0.011281251721652378
CLIC4,0.0109168319865427,0.009094469245314719
RUNX3,-0.02750371759192688,-0.013552849375202463
SYF2,0.0,0.0
RSRP1,0.0,0.01706777537165146
RHD,0.0,0.0
TMEM50A,0.0,0.0
RHCE,0.0,0.0
TMEM57,0.0,0.008166300905534015
LDLRAP1,0.0,0.0
MAN1C1,0.0,0.008290700104560771
SEPN1,0.0,0.0
MTFR1L,0.0,0.0
AUNIP,0.0,0.0
PAQR7,0.0,0.0
STMN1,0.0,0.012486868108896914
PAFAH2,0.0,0.0
PDIK1L,0.0,0.006855439420417872
ZNF593,0.0,0.0
CNKSR1,0.0,0.0
CATSPER4,0.0,0.0
CEP85,0.0,0.007851921419344498
SH3BGRL3,0.0,0.0
UBXN11,0.0,0.00986005954753233
CD52,-0.015066936144394048,-0.011106626031173687
DHDDS,0.009952106916533554,0.008459472491941159
HMGN2,0.0,0.0
RPS6KA1,0.020609825807068875,0.01363937970213076
ARID1A,0.012549716689507506,0.014176877686556077
PIGV,0.0,0.0
ZDHHC18,0.0,0.0
GPN2,0.0,0.0
GPATCH3,0.0,0.0
NUDC,0.0,0.013857988566785686
KDF1,0.0,0.0
TRNP1,0.0,0.0
SLC9A1,0.0,0.0
WDTC1,0.0,0.0
TMEM222,0.0,0.0
SYTL1,-0.01521270767773954,-0.01401745236813028
MAP3K6,0.0,0.0
WASF2,0.01622920208011613,0.013220598764109833
AHDC1,0.009503978241134128,0.0063527850735602305
FGR,0.0,0.0
IFI6,-0.010960259117042452,0.01200589439552853
FAM76A,0.0,0.0
STX12,0.0,0.013385205072333916
PPP1R8,0.008963318359066448,0.0
THEMIS2,0.0,0.011364297961231132
RPA2,0.0,0.0
XKR8,0.0,0.0
EYA3,0.0,0.013740575142249446
PTAFR,0.02096671303963215,0.01468980021137644
DNAJC8,0.012033351975548476,0.008895050359204935
ATPIF1,0.0,0.009522831209306328
SESN2,0.0,0.0
MED18,0.0,0.0
PHACTR4,0.0,0.013003313272054505
RCC1,0.013286998170941592,0.009438572898113768
TRNAU1AP,0.0,0.0
TAF12,0.0,0.0
RAB42,0.0,0.0
GMEB1,0.0,0.007505119306542157
YTHDF2,0.0,0.0
OPRD1,0.0,0.004892269682322127
EPB41,0.0,0.0
SRSF4,0.0,0.008983687434980455
MECR,0.0,0.0072105828160001295
PTPRU,0.0,0.008370484840598064
LAPTM5,0.0326578902689364,0.009877801602111665
SDC3,0.0,0.0
PUM1,0.0,0.0203865901724292
NKAIN1,0.0,0.0
SNRNP40,0.0,0.00724678271204118
ZCCHC17,0.0,0.008869702380391958
FABP3,0.0,0.0
PEF1,0.0,0.0
COL16A1,0.0,0.0
ADGRB2,0.0,0.0
PTP4A2,0.0,0.0
KHDRBS1,0.0,0.016383628054976746
TMEM39B,0.0,0.008955287476734058
KPNA6,0.0,0.007390372566620843
TXLNA,0.0,0.007233349123725041
CCDC28B,0.0,0.0
IQCC,0.0,0.0
DCDC2B,0.0,0.0
TMEM234,0.0,0.0
EIF3I,0.0,0.0
LCK,-0.01263169592185941,-0.021279672673630557
HDAC1,0.011102205911269356,0.0
MARCKSL1,0.0,0.0
FAM229A,0.0,0.0
BSDC1,0.0,0.0
RP1-27O5.3,0.0,0.0
ZBTB8A,0.0,0.0
ZBTB8OS,0.0,0.0081137010382599
RBBP4,0.0,0.0
SYNC,0.0,0.00659035415262987
KIAA1522,0.0,0.0
YARS,0.0,0.00930562151075335
S100PBP,0.0,0.0
HPCA,0.0,0.0
TMEM54,0.0,0.0
RNF19B,0.0,0.009523129544796973
AK2,0.012412460835799935,0.007091332566379364
AZIN2,0.0,0.0
TRIM62,0.0,0.0
ZNF362,0.0,0.009115683459634248
A3GALT2,0.0,0.009157476570898139
PHC2,0.01923863272412516,0.017138894418525067
ZSCAN20,0.0,0.0
CSMD2,0.0,0.0
SMIM12,0.0,0.01036996311876829
DLGAP3,0.0,0.0
ZMYM1,0.0,0.0
SFPQ,0.0,0.011987093509697969
ZMYM4,0.017318795135024462,0.023137578505684167
KIAA0319L,0.0,0.012240696947006226
NCDN,0.0,0.0
TFAP2E,0.0,0.00794469394189154
PSMB2,0.0,0.0
C1orf216,0.0,0.0
CLSPN,0.0,0.0
AGO4,0.0,0.016232023359272242
AGO1,0.011040662619833956,0.0
AGO3,0.0,0.015121585234942508
ADPRHL2,0.012063673445903672,0.0
COL8A2,0.023840412079352006,0.008095005035722998
TRAPPC3,0.0,0.013973586899068875
MAP7D1,0.0,0.007922564386900414
THRAP3,0.0,0.00965654734917075
SH3D21,0.0,0.0
EVA1B,0.00914103914843905,0.0
STK40,0.0,0.008539931221169604
LSM10,0.013738356532914085,0.0
OSCP1,0.010515044130061841,0.0
MRPS15,0.0,0.0
CSF3R,0.011305120290912712,0.03208637525432701
GRIK3,0.0,0.0
ZC3H12A,0.0,0.0
MEAF6,0.0,0.0
SNIP1,0.0,0.0
GNL2,0.0,0.0
C1orf109,0.0,0.0
CDCA8,0.0,0.007481735572271874
EPHA10,0.0,0.0
MANEAL,0.0,0.0
YRDC,0.0,0.0
C1orf122,0.012168971010997178,0.0
MTF1,0.0,0.00728292745662482
INPP5B,0.0,0.007841604700795783
SF3A3,0.0,0.009427656321808826
FHL3,0.00918929776854524,0.0
UTP11L,0.01112420254190774,0.009773940847427085
POU3F1,0.0,0.0
RRAGC,0.0,0.0
MYCBP,0.0,0.0
RHBDL2,0.0,0.0
AKIRIN1,0.00995991915210826,0.013294493237344801
NDUFS5,0.012022277211285754,0.0
MACF1,0.0,0.020063922505865146
BMP8A,0.0,0.0
PABPC4,0.0,0.0
HEYL,0.0,0.0
HPCAL4,0.0,0.0
PPIE,0.0,0.008165059397016918
BMP8B,0.0,0.0
TRIT1,0.012194470533206705,0.010580622478049324
MYCL,0.0,0.0
MFSD2A,0.010364426265195587,0.0
CAP1,0.023705373748697744,0.0
PPT1,0.022212251106376826,0.013901847784303568
RLF,0.010547473000574141,0.012763737132331383
ZMPSTE24,0.00975918529812314,0.008570489476359064
COL9A2,0.0,0.007753218329243189
SMAP2,0.010368875696599191,0.010339955416322207
ZFP69B,0.0,0.0
EXO5,0.0,0.0
ZNF684,0.0,0.0
RIMS3,0.0,0.0
NFYC,0.0,0.007343664804864105
KCNQ4,0.0,0.0
CTPS1,0.0,0.0
SLFNL1,0.0,0.019167550444376985
SCMH1,0.0,0.0
HIVEP3,0.012181870150091853,0.022672115885138795
FOXJ3,0.0,0.0
RIMKLA,0.011970134655567531,0.0
ZMYND12,0.0,0.0
PPCS,0.0,0.0
CCDC30,0.01074660057984954,0.0
PPIH,0.0,0.0
YBX1,0.014385173372113638,0.017277967110520327
P3H1,0.013430492947717474,0.007078008502471696
C1orf50,0.019484139242732686,0.010600985571592794
SVBP,0.01115817332792135,0.0
ERMAP,0.01594001884913607,0.007710717311631101
ZNF691,0.01217677756603557,0.0
SLC2A1,0.0,0.0
EBNA1BP2,0.0,0.0
CFAP57,0.0,0.0
TMEM125,0.0,0.0
TIE1,0.0,0.0
CDC20,0.0,0.0
ELOVL1,0.0,0.0
MED8,0.009987467944478128,0.009155080650236895
SZT2,0.0,0.007396284819825564
HYI,0.0,0.0
PTPRF,0.0,0.0
KDM4A,0.0,0.006567358453545503
ST3GAL3,0.012314675841397744,0.013554164887608642
IPO13,0.0,0.0
DPH2,0.0,0.0
ATP6V0B,0.016710329927630004,0.008507346661612517
B4GALT2,0.0,0.0
CCDC24,0.0,0.010572754409507966
DMAP1,0.0,0.0
ERI3,0.0,0.011004722584623698
RNF220,0.011427178349595661,0.012150898516739887
TMEM53,0.0,0.0
C1orf228,0.02098419195606603,0.006476012343224745
KIF2C,0.0,0.005664808204018413
RPS8,0.027621025701177297,0.0
BEST4,0.0,0.0
PLK3,0.0,0.017551881232997703
BTBD19,0.0,0.0
PTCH2,0.0,0.0
EIF2B3,0.009716396555347152,0.016531720460170384
HECTD3,0.010398397307135328,0.0
UROD,0.01154879150909611,0.0
ZSWIM5,0.0,0.0
MUTYH,0.0,0.0
TOE1,0.0,0.0
TESK2,0.009518391229026351,0.00868338324658945
CCDC163P,0.0,0.0
MMACHC,0.0,0.0
PRDX1,0.0,0.00807854343313744
AKR1A1,0.01705562051760505,0.021756303821624086
NASP,0.0,0.012456872578386364
CCDC17,0.0,0.0
GPBP1L1,0.010024870731530175,0.014703502937121448
TMEM69,0.0,0.0
IPP,0.0,0.0
MAST2,0.01094753399332031,0.0
PIK3R3,0.0,0.0
POMGNT1,0.01067481233140049,0.007812247393514384
LURAP1,0.0,0.0
RAD54L,0.0,0.0
LRRC41,0.0,0.0
UQCRH,0.0,0.0
NSUN4,0.0,0.0
FAAH,0.0,0.0
MKNK1,0.011898804997296456,0.030287869698397942
ATPAF1,0.0,0.0051633814457266725
EFCAB14,0.012427897957276585,0.01302705148116411
CYP4B1,0.0,0.0
CYP4X1,0.0,0.0
PDZK1IP1,0.0,0.0
TAL1,0.016568376833291376,0.01711468244462721
STIL,0.0,0.0
CMPK1,0.009786355820658697,0.008226855834368274
TRABD2B,0.0,0.0
SLC5A9,0.0,0.022402159625477005
SPATA6,0.023487480612823967,0.022830015772900336
AGBL4,0.0,0.007957853380912643
ELAVL4,0.0,0.0
FAF1,0.0,0.014812364433237163
CDKN2C,0.0,0.0
RNF11,0.0,0.0074820631626713
TTC39A,0.0,0.0
EPS15,0.010140436730646667,0.009253092177182499
OSBPL9,0.0,0.014546095041140402
NRD1,0.01101968414288675,0.015191741283989993
RAB3B,0.0,0.0
TXNDC12,0.0,0.00945040722810744
BTF3L4,0.010878397035368725,0.011004709994964734
ZFYVE9,0.011054646180502142,0.010069173106448153
CC2D1B,0.0,0.0
ORC1,0.0,0.0
PRPF38A,0.0,0.0
ZCCHC11,0.012921583532918569,0.011474202543193566
GPX7,0.0,0.0
FAM159A,0.0,0.0
COA7,0.0,0.0
ZYG11B,0.0,0.0
ZYG11A,0.0,0.0
ECHDC2,0.0,0.0
SCP2,0.0,0.0
PODN,0.0,0.0
SLC1A7,0.0,0.0
CPT2,0.0,0.0
C1orf123,0.011229947740341778,0.008400033720473571
MAGOH,0.0,0.0
LRP8,0.0,0.008405523028823546
NDC1,0.0,0.0
YIPF1,0.0,0.0
DIO1,0.0,0.008983943882756095
HSPB11,0.0,0.0
LRRC42,0.0,0.0
TMEM59,0.0,0.008749895660281667
TCEANC2,0.00877820689665679,0.0
RP11-446E24.4,0.0,0.0
MRPL37,0.0,0.0
SSBP3,0.0,0.0
ACOT11,0.008867608477467329,0.0
FAM151A,0.0,0.0
PARS2,0.0,0.0
TTC22,0.0,0.0
LEXM,0.0,0.0
DHCR24,-0.008011760449527726,0.0
TMEM61,0.0,0.0
USP24,0.011473711208055726,0.010371807611920289
PLPP3,0.0,0.00739612102861152
PRKAA2,0.0,0.0
DAB1,0.0,0.008099706507488735
MYSM1,0.0,0.010010511694972368
JUN,0.0,0.0
FGGY,0.0,0.00857057761872643
HOOK1,0.0,0.0
C1orf87,0.0,0.0
NFIA,0.0,0.016117184824866418
TM2D1,0.010880264438333745,0.0
INADL,0.0,0.0
KANK4,0.0,0.0
USP1,0.0,0.0
DOCK7,0.010223130416392844,0.009049536483525543
ATG4C,0.012944264490490576,0.010270582108392545
ALG6,0.0,0.0
ITGB3BP,0.012298514347621397,0.0
EFCAB7,0.012906721495284514,0.0
PGM1,0.0,0.0
ROR1,0.0,0.0
CACHD1,0.0,0.0
RAVER2,0.0,0.0074693033416318305
JAK1,0.0,0.0
AK4,0.0,0.0
DNAJC6,0.0,0.0
LEPR,0.0,0.01057051629653347
PDE4B,0.0,0.016790098432954766
SGIP1,0.0,0.0
TCTEX1D1,0.0,0.0
WDR78,0.0,0.0
MIER1,0.0,0.008874983650953395
SLC35D1,0.0,0.0
C1orf141,0.0,0.0
IL12RB2,-0.011031005933144721,0.0
SERBP1,0.0,0.0
GADD45A,0.0,0.0
GNG12,0.0,0.0
DIRAS3,0.0,0.0
WLS,0.0,0.0
LRRC7,0.0,0.010682073293440099
LRRC40,0.011598766780131792,0.0
SRSF11,0.014689165998456079,0.0
ANKRD13C,0.011135686065737449,0.006999394062099493
HHLA3,0.0,0.0
CTH,0.0,0.0
PTGER3,0.0,0.0
ZRANB2,0.01734387279979475,0.010129904467819743
NEGR1,0.0,0.0
LRRIQ3,0.009083228675276781,0.0
ERICH3,0.0,0.0
CRYZ,0.0,0.0
TYW3,0.008618282475395726,0.0
SLC44A5,0.0,0.0
ACADM,0.0,0.0
RABGGTB,0.0,0.0
MSH4,0.0,0.010392781459718042
ST6GALNAC3,0.020708581305093822,0.023368420589163285
ST6GALNAC5,0.0,0.0
PIGK,0.0,0.0
AK5,0.0,0.0
ZZZ3,0.010047503724232118,0.0
USP33,0.0,0.0
FAM73A,0.0,0.008425969777101687
NEXN,0.0,0.008699781678338691
FUBP1,0.0,0.0
GIPC2,0.0,0.0
IFI44L,-0.021027640735787754,0.013823723675832473
IFI44,0.0,0.0
ADGRL2,0.0,0.0
TTLL7,0.0,0.01072951229721704
PRKACB,0.0,0.0
SAMD13,0.0,0.0
RPF1,0.0,0.0
GNG5,0.018555678305250317,0.0
CTBS,0.01368086363689219,0.006317973830903193
SSX2IP,0.0,0.009786707879166459
MCOLN2,0.0,0.0
WDR63,0.0,0.0
C1orf52,0.0,0.0
BCL10,0.0,0.0
DDAH1,0.0,0.0
ZNHIT6,0.0,0.007431774413908939
COL24A1,0.0,0.0
ODF2L,-0.01000330404266533,0.0
SH3GLB1,0.0,0.011475458111438203
SEP15,0.0,0.0
HS2ST1,0.0,0.0
LMO4,0.0,0.0
PKN2,0.00995780757156662,0.020353895239852295
GTF2B,0.0,0.0
CCBL2,0.01245910881184344,0.008279144950101913
GBP3,0.0,0.0
GBP1,0.0,0.0
GBP2,0.0,0.0
GBP4,0.0,0.0
GBP5,0.0,0.0
LRRC8B,0.0,0.0
RP11-302M6.4,0.0,0.0
LRRC8D,0.0,0.0
ZNF326,0.0,0.010589570675983265
ZNF644,0.0,0.013734604745115942
HFM1,0.0,0.0
CDC7,0.0,0.0
TGFBR3,-0.024369998058307037,-0.012266222197430995
BRDT,0.0,0.0
EPHX4,0.0,0.006461226607957882
BTBD8,0.0,0.0
KIAA1107,0.0,0.0
GLMN,0.0,0.0
RPAP2,0.014681614010031221,0.009971168362869218
GFI1,0.0,0.0
EVI5,0.013714353068493241,0.018631987369565325
RPL5,0.018092232107427466,0.015084099150756146
FAM69A,0.01514289585474836,0.0
MTF2,0.0,0.010019983742784136
TMED5,0.010079943310694426,0.0
CCDC18,0.0,0.010313383528358599
DR1,0.0,0.0
FNBP1L,0.011419390233555572,0.011833375482884689
BCAR3,0.0,0.01739655270206966
DNTTIP2,0.0,0.0084603979252105
GCLM,0.010979929544804454,0.0
ARHGAP29,-0.00884802062091929,0.003871163302514092
ABCD3,0.0,0.0
SLC44A3,0.0,0.0
CNN3,0.0,0.0
ALG14,0.0,0.0
PTBP2,0.0,0.013869486160319484
DPYD,0.010352005558214736,0.0
SNX7,0.0,0.0
PLPPR5,0.0,0.0
PLPPR4,0.0,0.0
FRRS1,0.0,0.0
AGL,0.0,0.0
SLC35A3,0.0,0.008802117436610654
HIAT1,0.0,0.0
SASS6,0.0,0.006700619315584194
TRMT13,0.01111693587929826,0.010976606444672524
LRRC39,0.0,0.0
DBT,0.0,0.0
RTCA,0.0,0.0
CDC14A,0.0,0.0
EXTL2,0.0,0.0
SLC30A7,0.0,0.0
DPH5,0.010517869688161856,0.011208750662615998
S1PR1,0.0,0.0
OLFM3,0.0,0.0
COL11A1,0.0,0.0
RNPC3,0.0,0.006864957208245174
AMY2B,0.0,0.0
PRMT6,0.0,0.0
NTNG1,0.0,0.0
VAV3,-0.028050647036363414,-0.013577779168824328
SLC25A24,0.0,0.0
NBPF6,0.0,0.0
FAM102B,0.0,0.014227210858682662
HENMT1,0.0,0.0
