,0,1,2,3
FO538757.2,0.007696934184321765,0.020412471574411985,0.006674426831948783,0.0063876920347162545
SAMD11,0.0,0.0,0.0,0.0
NOC2L,0.009778290282835111,0.013289946012207272,0.0,-0.009138697455501034
KLHL17,0.0006852569359168508,0.00899258101323729,0.004168465409470322,0.0
HES4,0.007855598818125718,0.0,0.0,-0.004802374485418719
ISG15,0.00964577685995557,-0.008948959933364014,0.0,-0.01635612998911915
AGRN,0.007814626522224847,0.006739214109449129,0.015016291809925914,0.0
C1orf159,0.010100999423345547,0.003356741203412582,0.0,0.009245091616332374
TTLL10,0.0027078936788350423,0.00250687519649695,0.0,0.0024597583852840428
TNFRSF18,0.005278819644075429,-0.0034124857951848674,0.0,-0.004481299884747761
TNFRSF4,0.003482152509192423,0.0,-0.0029780759104720733,0.0
SDF4,0.007622730044645523,0.01179884791042194,0.00647777090117376,-0.0021730781303999774
B3GALT6,0.004779368863315387,0.00670199221878745,0.0,-0.007518740223447808
FAM132A,0.0014347679591965993,0.0,0.0,0.0
UBE2J2,0.007742896657187517,0.010840325424256319,0.0,-0.0046286695704110675
SCNN1D,0.0018847043851734262,0.004487950510711694,0.0064612759899549226,0.003039737339921624
ACAP3,0.006511461162816759,0.018062765898230106,0.0,0.010815785007845762
PUSL1,0.004998095088864679,0.0,-0.0034019559587934413,-0.0029420714272444673
CPSF3L,0.006345397591604672,0.013161907007944406,0.0,0.0
CPTP,0.005053487601652003,0.009245593741309174,0.0,-0.010050216026728384
TAS1R3,0.0,0.0018061341589026441,0.0,0.0
DVL1,0.005717216860542993,0.016402359736902003,0.005947182771688894,-0.003717351358050419
MXRA8,0.0011267862278732115,0.0021464211761061313,0.0,0.0
AURKAIP1,0.018748829096123146,0.0,-0.029162713222493808,-0.02420310065121435
CCNL2,0.015370451239397311,0.009286996876703807,0.0,0.0
MRPL20,0.01916972664012688,0.0,-0.026464617709874717,-0.018368076374377068
ANKRD65,0.009110289107501082,0.0,0.0,-0.011077956063958828
VWA1,0.0009994561131418571,0.00653702303441215,0.0,-0.003393781195266919
ATAD3C,0.0031817660164828467,0.005065606192304669,0.0,0.0
ATAD3B,0.006801577452088257,0.0030866124571647374,0.010430694590449532,0.005161130334656537
ATAD3A,0.00542929561064124,0.004394789909526395,0.0,0.0024376611569270202
TMEM240,0.002480690336191513,0.0,0.005326335576388194,0.0
SSU72,0.018803592893113022,0.012746185271283982,-0.028251326966953493,-0.02596224941687219
C1orf233,0.0023943022960418005,0.005238721676569732,0.015558582348716248,-0.010577225255798763
MIB2,0.00529960997335336,0.012187300339212118,0.007256891965405387,-0.0019980972222010214
MMP23B,0.014275959935079963,-0.002910986367207479,-0.007026034345475744,0.00882811993097813
CDK11B,0.013644484495994081,0.010088098382849856,0.0,0.003763387636828955
SLC35E2B,0.009771483965410376,0.007500732364603352,0.0,0.00495642912613751
CDK11A,0.00969564207612471,0.007944483783147244,0.0,0.00773052325348611
SLC35E2,0.009204271921192445,0.011931796391433831,0.0,0.0028553631641078337
NADK,0.005961925592228762,0.01210601457291964,0.007363160820299934,0.0
GNB1,0.02337353200211579,0.02529114672409318,0.0,-0.013087763850215626
CALML6,0.0,0.0,0.004669988918262465,0.0
TMEM52,0.0019098170508178888,0.0,0.0,0.0
CFAP74,0.010301619713405779,0.005276197351316356,0.0,0.006941612631586902
GABRD,0.01626247434962083,-0.004589547816624811,0.0,-0.013963116310358452
PRKCZ,0.020204566964738414,0.007119636458681355,0.0,-0.009945023914364087
FAAP20,0.0080263086614571,0.004660444827236694,0.0,-0.008841293178368992
SKI,0.009784639978003305,0.02034642278613212,0.009986930952551334,0.004165514087476016
MORN1,0.009879801155459236,0.007009223549733632,0.005260375962618901,0.0029214215507163866
RER1,0.008530424868773992,0.008784943503359916,0.0,-0.008641189926808068
PEX10,0.01221126983471063,-0.0036037432989149618,-0.0068862066759791465,-0.002819817022292224
PLCH2,0.0038299101750878775,0.014853559768120552,0.0,0.004234758157218549
PANK4,0.008674580096744428,0.010226624625139711,-0.010123124989710817,0.0
HES5,0.00100286651744509,0.0019156241915047915,0.0,-0.0028288191963432114
TNFRSF14,0.006008829015331616,0.0,0.006594022549173123,0.0
FAM213B,0.009247718142512906,0.013059435008062548,0.0,-0.012469637565973374
MMEL1,0.0,0.001652476131782319,0.0,0.0
TTC34,0.0014279285644512342,0.0,0.0,0.0071509421104416345
PRDM16,0.003945768177625495,0.007059185818386004,0.0,0.0
ARHGEF16,0.0016831739456163752,0.003999514978601236,0.0,0.0
MEGF6,0.005152603644920649,0.004618521064600575,0.0,0.0
TPRG1L,0.013822712243712655,0.014593517961144494,0.0,-0.026348724221731554
WRAP73,0.008044038288211597,0.0021946679954999147,0.0,-0.0030403542287904613
TP73,0.003072953290632675,0.0,-0.0027322514369405825,0.0021279270176582897
CCDC27,0.0012140636341975404,0.0020774292753609935,0.0,0.0012355551615914598
SMIM1,0.003649256655378675,0.0,0.0,-0.005711113435357041
LRRC47,0.012539250358993592,0.005176296104169288,0.0,-0.012880319419228821
CEP104,0.012993190424158859,0.007006930131181955,0.004987066625275292,0.0046424185514918155
DFFB,0.0048578593036772985,0.00650412604964167,0.0,0.004755660500063331
C1orf174,0.006836614387122115,0.005318434417487472,0.0,-0.006620379022129237
AJAP1,0.012330375597267237,0.019321211828403382,0.0,0.010235057301453005
NPHP4,0.012943957708505463,0.0,0.0,0.01191673944254204
KCNAB2,0.019195475722940926,0.01942104589574116,0.0,-0.016053465208694807
CHD5,0.0012822286255328651,0.03628555630190834,0.026950356365623908,0.0
