,0,1,2
FO538757.2,0.015202852453823572,0.0111040237113057,0.0
NOC2L,0.012697234578480772,0.0,0.0
KLHL17,0.004257784118447437,0.0,0.0
HES4,-0.0030255132141594,0.006276803138690071,0.0
ISG15,0.004011954470907711,0.0,-0.004911115549300353
AGRN,0.0050483061533524234,0.008419481031570062,0.0
C1orf159,0.005645309775333703,0.007820503246845549,0.007720782609823822
TTLL10,0.004956913654743447,0.0,0.0
SDF4,0.011866082445030391,0.0,0.0
B3GALT6,0.005529590517648402,0.004020377134901899,0.0
UBE2J2,0.013369263863647143,0.008166982939710292,0.0
SCNN1D,0.002633699951164841,0.0,0.0
ACAP3,0.0083943563053107,0.009180900238370135,0.011907392120351763
PUSL1,0.004772844971868534,0.0,0.0
CPSF3L,0.012300338956948775,0.006613283703281394,0.0
CPTP,0.007533960060735489,0.0,-0.005263602113910637
DVL1,0.007134981567705315,0.0,0.0
AURKAIP1,0.020020086761173776,0.004902981950734167,-0.014142242760381457
CCNL2,0.012356167565395726,0.014992441885612457,0.0
MRPL20,0.014469489212306277,0.010661823366238977,-0.009711335861751273
ANKRD65,0.014506121723804628,0.0,-0.006701907267821059
TMEM88B,0.0,0.0,0.0
VWA1,0.020974164613632395,-0.005896671735020828,-0.005626727135941527
ATAD3C,0.0115633666253862,-0.004717306036260548,0.005712696657107443
ATAD3B,0.00715430700485944,0.005813964344977652,0.005835666066271916
ATAD3A,0.004165704248800451,0.0,0.0
TMEM240,0.0,0.0,0.0
SSU72,0.017198917061009567,0.0,-0.013040650140096725
C1orf233,0.0,0.004405923767046605,0.0
MIB2,0.006307277510589779,0.0,-0.004819989541590058
MMP23B,0.006623746401048064,0.00887356226323246,0.00919305752503359
CDK11B,0.013988159228328462,0.0,0.010332970489959573
SLC35E2B,0.01225110859713572,0.004874898134289754,0.0
CDK11A,0.012918870387664018,0.0,0.00780029840687067
SLC35E2,0.01063874064695975,0.0057418525133573015,0.0
NADK,0.008491047866440707,0.007084812302258295,0.006568116565688811
GNB1,0.017245047872283314,0.019131383920237534,0.014558570020572547
CFAP74,0.004192571304905511,0.005570205950887783,0.006186824454776186
GABRD,0.0,0.006485908494917551,0.0
PRKCZ,0.012296458628446062,0.0174127217754508,0.00451595899973782
FAAP20,0.014484678362439513,0.0,-0.010973110067715147
SKI,0.010970535720313578,0.0,0.0
MORN1,0.0,0.006177153699508189,0.0
RER1,0.01734320927631403,0.004988107910333813,-0.006554976359323896
PEX10,0.01037714425753581,0.0,-0.006359864209991713
PLCH2,0.0031464413355484326,0.016898111378680344,0.016606343397192656
PANK4,0.007738358786253649,0.0,0.0
TNFRSF14,0.0023057050951822773,0.0,0.0
FAM213B,0.005819698586857621,0.0,0.0
PRDM16,0.005993221540729628,0.0,0.0
ARHGEF16,0.0,0.0,0.0
MEGF6,0.0027780801978471653,0.0,0.0
TPRG1L,0.008677866878184497,0.0,-0.008468583055666308
WRAP73,0.007811415573751413,0.00439656592986554,0.0
LRRC47,0.011157186239133829,0.0,0.0
CEP104,0.013965390711904384,0.008976712405862453,0.010890080714891216
DFFB,0.0068996750676004436,0.0,0.00448393176294001
C1orf174,0.008167720908226032,0.0,0.0
AJAP1,0.0078199106014958,0.005396997262631351,0.00888080821252955
NPHP4,0.004574728419005162,0.006051122666289915,0.006558529125459263
KCNAB2,0.004910904954647574,0.008122110566332962,0.0
CHD5,0.0040703722663672556,0.0,0.0
RPL22,0.01595342603274322,0.0,-0.011123047969218678
RNF207,0.003056174123427808,0.0,0.0
ICMT,0.011161342343313502,0.0,0.0
ACOT7,0.008151233060114595,0.015796775523518394,0.0
ESPN,0.0,0.0,0.0
TNFRSF25,0.0,0.0,0.0
PLEKHG5,0.004489644426804356,0.0037263335923326093,0.0
NOL9,0.005897176780576722,0.0,0.0063907952584593315
TAS1R1,0.0030811736396862467,0.0,0.0
ZBTB48,0.0038351619660563626,0.0,0.0
KLHL21,0.014748980430058579,0.0,-0.008333015303933137
PHF13,0.008386178928336395,0.0,0.0
THAP3,0.006367541552715895,0.0,0.0
DNAJC11,0.00825649067236328,0.007955168990107262,0.007236794364016975
CAMTA1,0.01678035975883009,0.01837471667901933,0.01861591071997291
VAMP3,0.019246092046700948,0.0,-0.014823488642420703
PER3,0.008740818116789457,0.020873984875523704,0.009919775079976968
PARK7,0.021264496324245576,0.008821378698121416,-0.01559278084304893
ERRFI1,0.010507695484424446,0.009294438463119763,0.0
SLC45A1,0.007804155388849712,0.0,0.0
RERE,0.02036739150851021,0.02941795883166495,0.03155595828913723
ENO1,0.02415071119163485,0.0,-0.02823686376370118
CA6,0.004142494613103195,0.0,0.0
SLC2A5,0.005044633096840936,0.0,0.0
GPR157,0.00378694825825822,0.005316541697045242,0.0
H6PD,0.008093345882701823,0.010006983199759817,0.0056788314959007324
SPSB1,0.011243926918825075,0.0078013882416967505,0.0
SLC25A33,0.010323300190638922,0.007245919907343264,0.0
TMEM201,0.006763969464038246,0.0,0.0
PIK3CD,0.005656505229027003,0.0,0.0
CLSTN1,0.016731659869450563,0.011199635879627776,0.0
CTNNBIP1,0.007692818526605659,0.012421791267057246,0.011659951227779112
LZIC,0.013760213629874257,0.007462746380231483,0.0
NMNAT1,0.009658135532793117,0.011288845940751982,0.009346320761079087
RBP7,0.012301819831720094,0.00848288123538026,0.0
UBE4B,0.017495602504535183,0.021438044147999824,0.024551500335233976
KIF1B,0.026813048889772723,0.0275425009002768,0.019910231305625074
PGD,0.00895022010454416,0.0,0.0
DFFA,0.011634601794877904,0.006331032545218853,-0.005911811618406924
