,0,1,2
FO538757.2,-0.007221620988907782,0.013275964160550054,-0.009845807848585911
SAMD11,-0.0028007518476648252,0.006031649475578146,0.0
NOC2L,-0.009578870109871268,0.013662649831811237,0.0
KLHL17,0.0,0.00782098745509732,-0.00415322700980026
HES4,-0.006152757454740577,0.0,-0.010166337439899472
ISG15,-0.010302905970169939,-0.006845033254641554,0.009138342000949429
AGRN,-0.004173565267753129,0.0,-0.008691250180232517
C1orf159,-0.004894301653328178,-0.006064459250137997,-0.004307548749376303
TTLL10,-0.00293731116230653,0.0,0.0
TNFRSF18,-0.001957461253978849,0.0,0.0
SDF4,-0.007335442420177144,0.007494256461655619,-0.003917437084606535
B3GALT6,-0.0035903701678313563,0.007013231989778196,0.0
FAM132A,-0.001725667698649652,0.0,0.0
UBE2J2,-0.00713662974294349,0.011386268277020089,0.0
SCNN1D,0.0,0.006422127243885651,0.0
ACAP3,-0.004573488634650071,0.0,-0.00967126239127122
PUSL1,-0.004083419729832925,0.0,0.0
CPSF3L,-0.005510479435174121,0.009883986321917723,0.0
CPTP,-0.006038842657156404,0.020199494991348325,0.009818336804370439
TAS1R3,0.0,0.0,0.0
DVL1,-0.00640371728033979,0.008693865608659292,-0.004494116656609922
MXRA8,-0.0016447335710361556,0.0,0.0
AURKAIP1,-0.019582072309964636,0.025474501258746,0.019912277109103232
CCNL2,-0.011136413635058623,0.0,-0.007012896615361155
MRPL20,-0.015977322670393253,0.00741288406222443,0.010292825292776992
ANKRD65,-0.0045909667892160295,0.010264919603364259,0.006775894371528816
VWA1,0.0,0.0,-0.008612869269257778
ATAD3C,-0.0017701709150945875,0.0,-0.006262601610854027
ATAD3B,-0.006110688540435614,0.0,0.0
ATAD3A,-0.0037846520215371287,0.010315153355476926,0.0
TMEM240,0.0,0.0,0.0
SSU72,-0.017785016936685397,0.02124073454923463,0.012220596524614838
C1orf233,-0.006521181813409611,0.019585436949157077,0.010766197952027955
MIB2,-0.005067582273866864,0.006065346445414578,0.0
MMP23B,-0.009797750172054639,0.0,-0.004259914190395153
CDK11B,-0.007445182021990937,0.0,0.0
SLC35E2B,-0.008317295023014112,0.0,0.0
CDK11A,-0.006133769483059657,0.0,0.0
SLC35E2,-0.006075223412803893,0.008074094092970097,-0.006438980115923223
NADK,-0.005984178865395037,0.0,-0.008741879787077345
GNB1,-0.01986938994808208,0.014138861437960587,-0.007098113614400664
TMEM52,-0.0037637390201473754,0.0,0.0
CFAP74,-0.008166762162490158,0.0172334187535231,0.0159248817722561
GABRD,-0.020695493607058926,0.03630077747210831,0.04239906822074533
PRKCZ,-0.01655335063498688,0.007054701148789754,0.005035339486298142
FAAP20,-0.01435664292849189,0.019329595857997435,0.012775052945817454
SKI,-0.006299504256809229,0.008811154640631053,-0.008060306201065456
MORN1,-0.007189834596667551,0.009696292939354124,0.007501050286125203
RER1,-0.008656817214988441,0.01419299690383375,0.0
PEX10,-0.012160595752847364,0.008651807497290654,0.011893931286361478
PLCH2,-0.008087501721125904,0.01740889207766174,0.008989657403913526
PANK4,-0.005899596427581118,0.0,0.0
HES5,0.0,0.0,-0.0026888378169531617
TNFRSF14,-0.00322340163980734,0.0,0.0
FAM213B,-0.00832540613380097,0.015681148675753515,0.0
MMEL1,0.0,0.0026779182553492956,-0.004288596488642795
TTC34,0.0,0.0,0.004083886844295435
PRDM16,-0.004054416093030917,0.0,0.0
MEGF6,-0.0020950287645731393,0.0,-0.005398673387353121
TPRG1L,-0.011950963456829066,0.022062983416049873,0.0
WRAP73,-0.007328455977201149,0.0,0.004889692516243736
TP73,0.0,0.0,0.0
CCDC27,-0.0016350280875145795,0.004648517632260254,0.0
SMIM1,-0.0031839646216557,0.005323139130607718,0.0
LRRC47,-0.010542996627581014,0.017138413574288684,0.0
CEP104,-0.010607968560086915,0.0,0.0
DFFB,-0.0042867118987810005,0.0,-0.003839748515354664
C1orf174,-0.007746718460389631,0.012395791591490367,0.005599655629702764
AJAP1,-0.010591746892961208,0.007933740468756709,0.0
NPHP4,-0.007282742794757893,0.0,0.0
KCNAB2,-0.01793184711518455,0.03125356553488676,0.021714582620455915
CHD5,-0.003383636889261731,0.01715101884947668,0.0
RPL22,-0.010867935192778335,0.011653893134688417,0.0
RNF207,-0.005499629612046153,0.0,0.0
ICMT,-0.010243559431188456,0.014597094108832559,0.0
GPR153,-0.0030761287399306727,0.008978686656796332,-0.00632506307311258
ACOT7,-0.01971291258236465,0.022403636174242018,0.017196422427340003
HES2,-0.001645791859036631,0.0,0.0
ESPN,-0.0014263908745905673,0.0,0.0
TNFRSF25,-0.0026699228018474304,-0.006546226119289305,-0.022637981660194977
PLEKHG5,-0.0047506949423876624,0.0,-0.016057266185685384
NOL9,-0.007908143551246987,0.004952193362356328,0.0
TAS1R1,-0.002159728283684521,0.0,0.0
ZBTB48,-0.005985739063693225,0.0,0.0
KLHL21,-0.006572403703337216,0.014675854574355997,0.0
PHF13,-0.005636777646233925,0.007949660261181879,0.0
THAP3,-0.005300750980063605,0.0,0.0
DNAJC11,-0.012994031559562,0.0,0.004729209495780111
CAMTA1,-0.016218951189231126,0.009656233047622961,0.0
VAMP3,-0.004795106277010092,0.0,0.0
PER3,-0.009693033257275992,0.0,-0.006097064628711995
UTS2,-0.0021863507205310854,0.0,0.0
PARK7,-0.025552728916338602,0.016981375287812784,0.025610693829479676
ERRFI1,-0.00691367238602478,0.011951441685910582,0.0
SLC45A1,-0.011584475437238572,0.01627439685235043,0.007180901920112198
RERE,-0.01703354860729043,-0.009663766676319107,-0.016252392375175426
