,r2_fold1,r2_fold2,r2_fold3,r2_fold4,r2_fold5,roc_auc_fold1,roc_auc_fold2,roc_auc_fold3,roc_auc_fold4,roc_auc_fold5
Ex,0.3142137404494384,0.30449191827422184,0.3335804388874315,0.33572379050526624,0.3207330393375626,0.8334859159813786,0.8401667829327257,0.8330011054109653,0.848765308558917,0.8380100966730673
Oli,0.18799481745459723,0.21037106819342644,0.19045855474727513,0.18492739146059423,0.20326777086334313,0.7657499606830391,0.7726425510290226,0.7750662365943837,0.7755455316683565,0.7701021198745955
In,0.1825235426797981,0.2082061464352436,0.19522780461428146,0.19793610425326968,0.17456811239900505,0.7483300154833001,0.7843835330703883,0.7666664035925402,0.7652101769911505,0.7472324431631389
Mic,0.2864610875919412,0.23329153643417078,0.19319606768737585,0.2706242809596344,0.1484094329168214,0.7785053929121726,0.7807932522052669,0.8038606037051431,0.790733740428419,0.7584795321637428
Opc,0.149761871218258,0.18830576337099703,0.14690684695247413,0.14966081514377239,0.11536742856740456,0.7056102499650887,0.7268547654010209,0.6876928471248247,0.759453781512605,0.7757751427316646
Ast,0.20217764043918862,0.2649086387716061,0.21884367744783184,0.23656072950280238,0.2535827610758544,0.7943402787065024,0.7875231844771009,0.7732703304964158,0.7980041847738614,0.7882067533211587
