,Mic1,Mic2,Ast1,Ast2,Ex1,Ex2,Ex3,Ex4,Oli1,Oli2,Oli3,In1,In2,In3,Opc1,Opc2
PDE5A,0.024592562157033048,0.022901000452552653,-0.04773668050223041,0.019284720403786072,0.03558050399702362,-0.010706332371833896,-0.02725225475735094,0.01884582220726706,0.0267118078465275,0.020849234574408022,0.0003064944984493143,-0.025628213360783785,-0.010510729323333976,0.0001367827091294934,0.03512361770061591,0.025205351520154896
NGFRAP1,-0.007866013308621737,0.014778511108148361,-0.029556683017865158,0.014827032513161871,0.03546211361386942,-0.014269101307725863,-0.04500876049353086,-0.03975998982193165,0.024556738383113168,0.022418432936773404,-0.03404640231365153,-0.03398066152595937,0.01045850513718166,0.03208342701991586,0.03032120553802933,0.015920894993753668
PDXDC1,0.020815727470142733,0.01956308188074386,-0.05074439897165031,0.02189823646045285,0.03444118722518054,-0.0015815001455310135,-0.002431381312527385,0.018778224751551283,0.023485051197391034,0.02669920428206357,-0.0012861029998325977,-0.02468104195374939,-0.016396267331600885,-0.009168609512441054,0.041378489389451614,0.030954541371735075
IDS,0.009732112027582894,0.00435282622937205,-0.006298191832037029,0.01288100129531567,0.012000175057066083,0.05662906131619207,0.006023654567013788,-0.022622125722096143,0.0128697903969905,0.0106721977564335,-0.0025193474278900705,-0.01474782728751845,0.037800302712175424,-0.010734731146550212,0.015606286920648606,-0.001143697072746453
LINGO1,0.05349042901081359,-0.002157482204692792,0.034408373899764956,0.03621528722720975,-0.0062521276974137245,0.05346386888271089,0.013538618494183051,-0.0037574759103538194,0.04714693612687571,-0.02370877458018426,0.018329410007514327,-0.00010152561741714516,0.07260136115716731,-0.033180412862202205,0.03731358570478291,-0.022752152612730375
SYN1,0.0003270241996125076,0.006568204181271456,-0.002120534243883002,0.008503415036854322,0.0049131745435356785,0.05148752496690655,0.008818387407344452,-0.025350455631674807,0.004868637977681739,0.0032051510335224303,-0.00319311380912256,-0.0069676664571460805,0.040751947558196396,-0.008831959182543508,0.012236251415159664,-0.0007137863645078714
PTPRD,0.007565200634131011,0.007602487993323633,-0.014536068972051725,0.005923346625971469,0.005363140897221134,0.026931684360861605,0.08152153507545937,0.02967248047023099,0.013355477585771162,0.029067967071571554,0.03674626346610576,-0.00713255709222849,-0.0010250228258413634,-0.0037692236250903006,0.033604366811374395,0.022440726509443613
OPCML,0.0023573404090504618,0.007034702421916556,-0.02517135521974422,0.00328660556082254,0.007680548400735959,0.023718081096626084,0.07778128355804374,0.03287632760061332,0.006246252997280963,0.01937525899375736,-0.0013023564187477476,-0.005398226208166708,-0.011340749400363158,-0.0029825310959180435,-0.01333921862070533,0.012963746731037007
PCDH9,-0.004742956523395302,0.014342800044911775,-0.030286833415420027,-0.0045496761357639555,0.004170888028340732,0.020243011356919336,0.07530847213620853,0.026791340514006407,-0.02566666154899849,0.03033034469004708,0.03298689324664441,-0.009634694679618016,0.026879394017863982,-0.009106214095477707,-0.0052990657134340995,-0.0057533932201661395
CSMD1,0.004446658633684045,0.01231490639846265,-0.03366689357367685,0.009507693939496924,-0.002248546221042433,0.02496209712191174,0.06687772050605106,0.05197212826720054,0.01010557750132334,0.023468136355173124,0.004514013389484049,0.00028601918763389387,0.01886533867652902,0.0007090010208444722,-0.020471880871926036,-0.0033928466896231634
KCNIP4,-0.010516295059852288,0.011547408143941547,-0.04022131476743466,0.004250543868055941,-0.006036396840482237,0.017280361359974,0.0592267503824612,0.0467386933871666,0.016463535864246474,0.018614775199383475,-0.004717848655097678,-0.00019114934125546084,-0.0395138628836449,-0.033546494534193325,-0.0019714136395740218,0.01529199829045731
DLG2,0.009129116685269579,0.02023908883812436,-0.04357588471088549,0.022651763510110483,0.004528490328068943,0.030815775270731424,0.05933011495214888,0.043956855184889614,0.0032575004908820945,0.0401834762164346,0.03811466292660697,0.0010810680206194247,-0.023800614775552342,-0.016521633438491688,0.012856707527717191,0.015299011319451276
FTH1,0.01664877860448807,0.03049339762603734,-0.07609851141770863,0.02543620699919773,0.03117402134844779,-0.00756695036526738,-0.053979897028332786,-0.03644228705904634,0.07008607888166414,0.01944987566737187,-0.08255418892345451,-0.028566048776367856,0.005240632129275799,0.01576165451553082,0.05373077320258007,0.01128712049505847
CRYAB,0.007923750205175684,0.009722466958680568,0.02424180733334069,0.026335606567743003,0.010981182941707501,0.010352869482173505,-0.02869338331762085,-0.02189329372424858,0.06923914102949345,0.008919211643924108,-0.08246283988990198,-0.015664376717138946,0.012974012569010495,0.006839058995944875,0.006774136000255081,0.003697713746404198
APOD,0.008532751734471638,0.0010154072242704066,-0.002481092413137061,0.0019569576379555595,0.01172010039435614,0.0073087356381460414,-0.023528713399611476,-0.01582620743505737,0.06466048516916643,-0.012059953289717262,-0.06214356773739857,-0.004366480699925177,0.006006088379478448,-0.0031563731826570766,0.06849482057367774,0.012234682007316484
SLC5A11,0.01503549120108339,0.0005238000450155831,-0.013916705296649621,0.005828587046880977,0.00618489228417412,-0.001114424702240844,-0.0004412940761581008,0.004602131768223788,0.004220593022664912,0.07494443639690244,0.05606860557185119,-0.003961046282186087,-0.0012810208377918894,-0.006409184547711538,0.008847746193867464,0.0060039498177265034
LDB3,0.00045018835756320395,-0.001144765726246624,-0.0053048023342122065,-0.0019167810993654915,0.004281236856362875,0.0006467353586873847,0.00479727529615981,0.0004020560501279921,0.002686798702336583,0.06921366384615217,0.0311220846134243,-0.002449969899523057,0.0030926575668257478,-4.812092036384927e-06,0.003610325010866492,0.004874014409456856
SAMD12,0.02650154781652579,0.002285430348067758,-0.010489201969998314,0.010064165354047005,0.018874233777665856,0.01789179464893306,0.04867574129216537,0.01992916571319529,0.01858817197482703,0.06476822716340327,0.02930418501844626,-0.0138541573897534,-0.010101944093386828,-0.011753793610599953,0.01844510856832311,0.013925546632247666
NKAIN2,0.00833370215254891,0.013104770088445431,-0.025502654288615048,0.015902138133637143,0.01776977622728759,0.031132514502422524,0.060404518327248004,0.022721142430160504,0.018354745064654877,0.035311201817427466,0.06684918702739316,-0.007704275974077211,-0.011220226207310056,-0.01403219027342975,0.02306643593727368,0.008469493556981943
NTM,0.01945933315414718,0.00844891170346467,-0.03584990416267912,-0.005929250384693419,0.01706344487791944,0.0057899917632928686,0.024704435768046106,0.019740271357660908,0.0027790894239903786,0.04240244665862369,0.06548158072079412,-0.009853082246476077,-0.01128764266509485,-0.015094791513813993,0.01052924750217183,0.010647161807407221
CNTNAP4,0.0007721532163030624,0.008175189578810882,-0.009961550112475253,0.00783703655077516,0.014138671704424188,0.010138529544662999,0.014793257641296931,0.006822422794590502,0.014328706924924476,0.027234219063251148,0.059376809149046555,-0.0055156210584126454,-0.05142577790793091,-0.060161638279578294,0.01701055868054694,0.003464095965619446
